contractid,planid,ssa,fips,state,county,enrollment
H0111,1,11000,13001,GA,Appling,12
H0111,1,11030,13009,GA,Baldwin,26
H0111,1,11050,13013,GA,Barrow,46
H0111,1,11060,13015,GA,Bartow,53
H0111,1,11070,13017,GA,Ben Hill,14
H0111,1,11080,13019,GA,Berrien,16
H0111,1,11090,13021,GA,Bibb,117
H0111,1,11100,13023,GA,Bleckley,23
H0111,1,11110,13025,GA,Brantley,44
H0111,1,11130,13029,GA,Bryan,69
H0111,1,11150,13033,GA,Burke,43
H0111,1,11160,13035,GA,Butts,44
H0111,1,11170,13039,GA,Camden,110
H0111,1,11190,13045,GA,Carroll,99
H0111,1,11200,13047,GA,Catoosa,14
H0111,1,11220,13051,GA,Chatham,563
H0111,1,11250,13057,GA,Cherokee,187
H0111,1,11260,13059,GA,Clarke,36
H0111,1,11280,13063,GA,Clayton,128
H0111,1,11290,13067,GA,Cobb,572
H0111,1,11291,13069,GA,Coffee,28
H0111,1,11300,13071,GA,Colquitt,19
H0111,1,11310,13073,GA,Columbia,207
H0111,1,11311,13075,GA,Cook,17
H0111,1,11320,13077,GA,Coweta,70
H0111,1,11360,13087,GA,Decatur,16
H0111,1,11370,13089,GA,DeKalb,390
H0111,1,11380,13091,GA,Dodge,15
H0111,1,11400,13097,GA,Douglas,156
H0111,1,11421,13103,GA,Effingham,125
H0111,1,11440,13107,GA,Emanuel,28
H0111,1,11451,13113,GA,Fayette,42
H0111,1,11460,13115,GA,Floyd,22
H0111,1,11461,13117,GA,Forsyth,59
H0111,1,11462,13119,GA,Franklin,16
H0111,1,11470,13121,GA,Fulton,325
H0111,1,11471,13123,GA,Gilmer,16
H0111,1,11490,13127,GA,Glynn,195
H0111,1,11500,13129,GA,Gordon,12
H0111,1,11510,13131,GA,Grady,16
H0111,1,11520,13133,GA,Greene,19
H0111,1,11530,13135,GA,Gwinnett,379
H0111,1,11540,13137,GA,Habersham,13
H0111,1,11550,13139,GA,Hall,23
H0111,1,11570,13143,GA,Haralson,26
H0111,1,11580,13145,GA,Harris,42
H0111,1,11581,13147,GA,Hart,17
H0111,1,11591,13151,GA,Henry,111
H0111,1,11600,13153,GA,Houston,74
H0111,1,11601,13155,GA,Irwin,12
H0111,1,11610,13157,GA,Jackson,20
H0111,1,11611,13159,GA,Jasper,12
H0111,1,11620,13163,GA,Jefferson,23
H0111,1,11630,13165,GA,Jenkins,17
H0111,1,11650,13169,GA,Jones,16
H0111,1,11660,13175,GA,Laurens,11
H0111,1,11680,13179,GA,Liberty,83
H0111,1,11690,13181,GA,Lincoln,15
H0111,1,11700,13185,GA,Lowndes,244
H0111,1,11702,13189,GA,McDuffie,48
H0111,1,11703,13191,GA,McIntosh,61
H0111,1,11720,13195,GA,Madison,18
H0111,1,11740,13199,GA,Meriwether,30
H0111,1,11750,13205,GA,Mitchell,25
H0111,1,11760,13207,GA,Monroe,35
H0111,1,11772,13213,GA,Murray,11
H0111,1,11780,13215,GA,Muscogee,239
H0111,1,11790,13217,GA,Newton,82
H0111,1,11800,13219,GA,Oconee,23
H0111,1,11810,13223,GA,Paulding,243
H0111,1,11811,13225,GA,Peach,19
H0111,1,11812,13227,GA,Pickens,31
H0111,1,11820,13229,GA,Pierce,14
H0111,1,11821,13231,GA,Pike,16
H0111,1,11830,13233,GA,Polk,26
H0111,1,11831,13235,GA,Pulaski,12
H0111,1,11832,13237,GA,Putnam,16
H0111,1,11834,13241,GA,Rabun,13
H0111,1,11840,13245,GA,Richmond,404
H0111,1,11841,13247,GA,Rockdale,87
H0111,1,11850,13251,GA,Screven,18
H0111,1,11860,13255,GA,Spalding,63
H0111,1,11862,13259,GA,Stewart,13
H0111,1,11880,13263,GA,Talbot,17
H0111,1,11882,13267,GA,Tattnall,12
H0111,1,11890,13275,GA,Thomas,38
H0111,1,11900,13277,GA,Tift,19
H0111,1,11910,13285,GA,Troup,79
H0111,1,11920,13293,GA,Upson,30
H0111,1,11921,13295,GA,Walker,25
H0111,1,11930,13297,GA,Walton,39
H0111,1,11940,13299,GA,Ware,26
H0111,1,11950,13303,GA,Washington,14
H0111,1,11960,13305,GA,Wayne,24
H0111,1,11970,13313,GA,Whitfield,48
H0111,1,11972,13317,GA,Wilkes,16
H0111,2,11220,13051,GA,Chatham,25
H0111,2,11250,13057,GA,Cherokee,19
H0111,2,11280,13063,GA,Clayton,11
H0111,2,11290,13067,GA,Cobb,94
H0111,2,11310,13073,GA,Columbia,16
H0111,2,11370,13089,GA,DeKalb,35
H0111,2,11470,13121,GA,Fulton,11
H0111,2,11530,13135,GA,Gwinnett,14
H0111,2,11591,13151,GA,Henry,12
H0111,2,11830,13233,GA,Polk,15
H0111,2,11840,13245,GA,Richmond,37
H0111,2,11841,13247,GA,Rockdale,15
H0111,3,11220,13051,GA,Chatham,11
H0111,3,11250,13057,GA,Cherokee,12
H0111,3,11290,13067,GA,Cobb,36
H0111,3,11370,13089,GA,DeKalb,24
H0111,3,11470,13121,GA,Fulton,14
H0111,3,11530,13135,GA,Gwinnett,19
H0111,3,11840,13245,GA,Richmond,11
H0111,4,11030,13009,GA,Baldwin,34
H0111,4,11050,13013,GA,Barrow,27
H0111,4,11060,13015,GA,Bartow,24
H0111,4,11090,13021,GA,Bibb,93
H0111,4,11110,13025,GA,Brantley,24
H0111,4,11130,13029,GA,Bryan,12
H0111,4,11150,13033,GA,Burke,31
H0111,4,11160,13035,GA,Butts,15
H0111,4,11170,13039,GA,Camden,29
H0111,4,11190,13045,GA,Carroll,110
H0111,4,11220,13051,GA,Chatham,152
H0111,4,11250,13057,GA,Cherokee,36
H0111,4,11260,13059,GA,Clarke,35
H0111,4,11280,13063,GA,Clayton,146
H0111,4,11290,13067,GA,Cobb,162
H0111,4,11300,13071,GA,Colquitt,20
H0111,4,11310,13073,GA,Columbia,43
H0111,4,11320,13077,GA,Coweta,28
H0111,4,11340,13081,GA,Crisp,12
H0111,4,11370,13089,GA,DeKalb,309
H0111,4,11380,13091,GA,Dodge,14
H0111,4,11400,13097,GA,Douglas,68
H0111,4,11421,13103,GA,Effingham,11
H0111,4,11440,13107,GA,Emanuel,27
H0111,4,11451,13113,GA,Fayette,22
H0111,4,11460,13115,GA,Floyd,17
H0111,4,11461,13117,GA,Forsyth,15
H0111,4,11470,13121,GA,Fulton,526
H0111,4,11490,13127,GA,Glynn,66
H0111,4,11510,13131,GA,Grady,17
H0111,4,11530,13135,GA,Gwinnett,193
H0111,4,11550,13139,GA,Hall,20
H0111,4,11570,13143,GA,Haralson,24
H0111,4,11580,13145,GA,Harris,11
H0111,4,11590,13149,GA,Heard,13
H0111,4,11591,13151,GA,Henry,87
H0111,4,11600,13153,GA,Houston,42
H0111,4,11620,13163,GA,Jefferson,33
H0111,4,11630,13165,GA,Jenkins,12
H0111,4,11650,13169,GA,Jones,12
H0111,4,11651,13171,GA,Lamar,15
H0111,4,11680,13179,GA,Liberty,41
H0111,4,11691,13183,GA,Long,12
H0111,4,11700,13185,GA,Lowndes,359
H0111,4,11702,13189,GA,McDuffie,19
H0111,4,11703,13191,GA,McIntosh,19
H0111,4,11740,13199,GA,Meriwether,24
H0111,4,11760,13207,GA,Monroe,13
H0111,4,11772,13213,GA,Murray,15
H0111,4,11780,13215,GA,Muscogee,220
H0111,4,11790,13217,GA,Newton,56
H0111,4,11810,13223,GA,Paulding,49
H0111,4,11820,13229,GA,Pierce,11
H0111,4,11830,13233,GA,Polk,23
H0111,4,11840,13245,GA,Richmond,198
H0111,4,11841,13247,GA,Rockdale,39
H0111,4,11850,13251,GA,Screven,23
H0111,4,11860,13255,GA,Spalding,48
H0111,4,11890,13275,GA,Thomas,30
H0111,4,11910,13285,GA,Troup,32
