contractid,planid,ssa,fips,state,county,enrollment
H0111,1,11000,13001,GA,Appling,12
H0111,1,11030,13009,GA,Baldwin,28
H0111,1,11050,13013,GA,Barrow,46
H0111,1,11060,13015,GA,Bartow,46
H0111,1,11070,13017,GA,Ben Hill,15
H0111,1,11080,13019,GA,Berrien,17
H0111,1,11090,13021,GA,Bibb,118
H0111,1,11100,13023,GA,Bleckley,23
H0111,1,11110,13025,GA,Brantley,45
H0111,1,11130,13029,GA,Bryan,72
H0111,1,11150,13033,GA,Burke,45
H0111,1,11160,13035,GA,Butts,45
H0111,1,11170,13039,GA,Camden,116
H0111,1,11190,13045,GA,Carroll,104
H0111,1,11200,13047,GA,Catoosa,13
H0111,1,11220,13051,GA,Chatham,587
H0111,1,11250,13057,GA,Cherokee,186
H0111,1,11260,13059,GA,Clarke,39
H0111,1,11280,13063,GA,Clayton,135
H0111,1,11290,13067,GA,Cobb,575
H0111,1,11291,13069,GA,Coffee,30
H0111,1,11300,13071,GA,Colquitt,25
H0111,1,11310,13073,GA,Columbia,211
H0111,1,11311,13075,GA,Cook,17
H0111,1,11320,13077,GA,Coweta,66
H0111,1,11360,13087,GA,Decatur,16
H0111,1,11370,13089,GA,DeKalb,388
H0111,1,11380,13091,GA,Dodge,15
H0111,1,11400,13097,GA,Douglas,167
H0111,1,11421,13103,GA,Effingham,124
H0111,1,11440,13107,GA,Emanuel,27
H0111,1,11450,13111,GA,Fannin,11
H0111,1,11451,13113,GA,Fayette,43
H0111,1,11460,13115,GA,Floyd,27
H0111,1,11461,13117,GA,Forsyth,61
H0111,1,11462,13119,GA,Franklin,14
H0111,1,11470,13121,GA,Fulton,331
H0111,1,11471,13123,GA,Gilmer,12
H0111,1,11490,13127,GA,Glynn,198
H0111,1,11500,13129,GA,Gordon,14
H0111,1,11510,13131,GA,Grady,23
H0111,1,11520,13133,GA,Greene,19
H0111,1,11530,13135,GA,Gwinnett,379
H0111,1,11540,13137,GA,Habersham,12
H0111,1,11550,13139,GA,Hall,22
H0111,1,11570,13143,GA,Haralson,27
H0111,1,11580,13145,GA,Harris,42
H0111,1,11581,13147,GA,Hart,16
H0111,1,11591,13151,GA,Henry,121
H0111,1,11600,13153,GA,Houston,72
H0111,1,11610,13157,GA,Jackson,19
H0111,1,11611,13159,GA,Jasper,11
H0111,1,11620,13163,GA,Jefferson,24
H0111,1,11630,13165,GA,Jenkins,21
H0111,1,11650,13169,GA,Jones,18
H0111,1,11651,13171,GA,Lamar,12
H0111,1,11680,13179,GA,Liberty,79
H0111,1,11690,13181,GA,Lincoln,15
H0111,1,11700,13185,GA,Lowndes,233
H0111,1,11702,13189,GA,McDuffie,50
H0111,1,11703,13191,GA,McIntosh,61
H0111,1,11720,13195,GA,Madison,22
H0111,1,11740,13199,GA,Meriwether,30
H0111,1,11750,13205,GA,Mitchell,23
H0111,1,11760,13207,GA,Monroe,35
H0111,1,11772,13213,GA,Murray,14
H0111,1,11780,13215,GA,Muscogee,248
H0111,1,11790,13217,GA,Newton,91
H0111,1,11800,13219,GA,Oconee,24
H0111,1,11810,13223,GA,Paulding,243
H0111,1,11811,13225,GA,Peach,22
H0111,1,11812,13227,GA,Pickens,29
H0111,1,11820,13229,GA,Pierce,11
H0111,1,11821,13231,GA,Pike,15
H0111,1,11830,13233,GA,Polk,28
H0111,1,11831,13235,GA,Pulaski,11
H0111,1,11832,13237,GA,Putnam,17
H0111,1,11834,13241,GA,Rabun,11
H0111,1,11840,13245,GA,Richmond,412
H0111,1,11841,13247,GA,Rockdale,84
H0111,1,11850,13251,GA,Screven,17
H0111,1,11860,13255,GA,Spalding,65
H0111,1,11862,13259,GA,Stewart,12
H0111,1,11880,13263,GA,Talbot,18
